fileName,Date,numGens,notes
slp0.4_Rsk0.1_K1000_var0.2_dslm0.8_rn394,03/08/2015,500,
slp0.8_Rsk0.05_K100_var0.0_dslm0.6_rn395,03/08/2015,500,
slp0.8_Rsk0.05_K100_var0.0_dslm0.8_rn396,03/08/2015,500,
slp0.8_Rsk0.05_K100_var0.1_dslm0.6_rn397,03/08/2015,500,
slp0.8_Rsk0.05_K100_var0.1_dslm0.8_rn398,03/08/2015,500,
slp0.8_Rsk0.05_K100_var0.2_dslm0.6_rn399,03/08/2015,500,
slp0.8_Rsk0.05_K100_var0.2_dslm0.8_rn400,03/08/2015,500,
slp0.8_Rsk0.05_K1000_var0.0_dslm0.6_rn401,03/08/2015,500,
slp0.8_Rsk0.05_K1000_var0.0_dslm0.8_rn402,03/08/2015,500,
slp0.8_Rsk0.05_K1000_var0.1_dslm0.6_rn403,03/08/2015,500,
slp0.8_Rsk0.05_K1000_var0.1_dslm0.8_rn404,03/08/2015,500,
slp0.8_Rsk0.05_K1000_var0.2_dslm0.6_rn405,03/08/2015,500,
slp0.8_Rsk0.05_K1000_var0.2_dslm0.8_rn406,03/08/2015,500,
slp0.8_Rsk0.1_K100_var0.0_dslm0.6_rn407,03/08/2015,500,
slp0.8_Rsk0.1_K100_var0.0_dslm0.8_rn408,03/08/2015,500,
slp0.8_Rsk0.1_K100_var0.1_dslm0.6_rn409,03/08/2015,500,
slp0.8_Rsk0.1_K100_var0.1_dslm0.8_rn410,03/08/2015,500,
slp0.8_Rsk0.1_K100_var0.2_dslm0.6_rn411,03/08/2015,500,
slp0.8_Rsk0.1_K100_var0.2_dslm0.8_rn412,03/08/2015,500,
slp0.8_Rsk0.1_K1000_var0.0_dslm0.6_rn413,03/08/2015,500,
slp0.8_Rsk0.1_K1000_var0.0_dslm0.8_rn414,03/08/2015,500,
slp0.8_Rsk0.1_K1000_var0.1_dslm0.6_rn415,03/08/2015,500,
slp0.8_Rsk0.1_K1000_var0.1_dslm0.8_rn416,03/08/2015,500,
