pop_age,colony_ID,num_adsB4_dispersal,dispersers,col_space
3,146,1,0,131.0
3,147,1,0,132.0
3,148,1,0,133.0
3,149,1,0,134.0
3,150,1,0,135.0
3,151,1,0,136.0
3,152,1,0,137.0
3,153,1,0,138.0
3,154,1,0,139.0
3,155,1,0,140.0
3,156,1,0,141.0
3,157,1,0,142.0
3,158,1,0,143.0
3,159,1,0,144.0
3,160,1,0,145.0
3,161,1,0,146.0
3,162,1,0,147.0
3,163,1,0,148.0
3,164,1,0,149.0
3,165,1,0,150.0
3,166,1,0,151.0
3,167,1,0,152.0
3,168,1,0,153.0
3,169,1,0,154.0
3,170,1,0,155.0
3,171,1,0,156.0
3,172,1,0,157.0
3,173,1,0,158.0
